Op Number,Percent Completion (Old),Time (ms),Old (bytes),Initial,Time (ms),Iterator (bytes),Percent Completion (Iterator),Iterator Ops,Time (ms),Percent Completion (8bit),New (bytes),uint8_t Buffers
244,1.52%,12405,350868224,334.61401,5807,350868224,6%,334.61401,5597,6%,321229568,306.34839
245,1.53%,12405,352506624,336.17651,5808,352506624,6%,336.17651,5597,6%,322867968,307.91089
246,1.53%,12405,354145024,337.73901,5808,354145024,6%,337.73901,5598,6%,324506368,309.47339
247,1.54%,12405,354145824,337.73978,5808,354145824,6%,337.73978,5598,6%,324507168,309.47415
248,1.55%,12405,354146624,337.74054,5808,354146624,6%,337.74054,5598,6%,324507968,309.47491
249,1.55%,12405,354149824,337.74359,5808,354149824,6%,337.74359,5598,6%,324511168,309.47797
250,1.56%,12405,354153024,337.74664,5808,354153024,6%,337.74664,5598,6%,324514368,309.48102
251,1.57%,12405,354156224,337.74969,5808,354156224,6%,337.74969,5598,6%,324517568,309.48407
252,1.57%,12405,354159424,337.75275,5808,354159424,6%,337.75275,5598,6%,324520768,309.48712
253,1.58%,12415,354162624,337.75580,5817,354162624,6%,337.75580,5607,6%,324521568,309.48788
254,1.58%,12415,354165824,337.75885,5817,354165824,6%,337.75885,5607,6%,324522368,309.48865
255,1.59%,12415,354169024,337.76190,5818,354169024,6%,337.76190,5607,6%,324525568,309.49170
256,1.60%,12415,354172224,337.76495,5818,354172224,6%,337.76495,5607,6%,324528768,309.49475
257,1.60%,12415,354175424,337.76801,5818,354175424,6%,337.76801,5607,6%,324531968,309.49780
258,1.61%,12415,354178624,337.77106,5818,354178624,6%,337.77106,5607,6%,324535168,309.50085
259,1.62%,13399,354227776,337.81793,6837,354227776,6%,337.81793,6605,6%,324584320,309.54773
260,1.62%,13399,354276928,337.86481,6837,354276928,6%,337.86481,6605,6%,324633472,309.59460
261,1.63%,13399,354276928,337.86481,6837,354276928,6%,337.86481,6605,6%,324633472,309.59460
262,1.64%,13399,354276928,337.86481,6837,354276928,6%,337.86481,6605,6%,324633472,309.59460
263,1.64%,13399,354719296,338.28668,6837,354719296,6%,338.28668,6605,6%,325075840,310.01648
264,1.65%,13399,355161664,338.70856,6837,355161664,6%,338.70856,6605,6%,325518208,310.43835
265,1.65%,13399,356210240,339.70856,6838,356210240,6%,339.70856,6606,6%,326566784,311.43835
266,1.66%,13400,357258816,340.70856,6838,357258816,6%,340.70856,6606,6%,327615360,312.43835
267,1.67%,13400,358307392,341.70856,6839,358307392,6%,341.70856,6607,6%,328663936,313.43835
268,1.67%,13413,359355968,342.70856,6853,359355968,6%,342.70856,6621,6%,329712512,314.43835
269,1.68%,13413,360404544,343.70856,6853,360404544,6%,343.70856,6621,6%,330761088,315.43835
270,1.69%,13414,361453120,344.70856,6854,361453120,6%,344.70856,6621,6%,331809664,316.43835
271,1.69%,13414,362501696,345.70856,6854,362501696,6%,345.70856,6622,6%,332858240,317.43835
272,1.70%,13415,363550272,346.70856,6854,363550272,6%,346.70856,6622,6%,333906816,318.43835
273,1.70%,13415,364598848,347.70856,6859,362501696,6%,345.70856,6628,6%,332858240,317.43835
